概率,半径 [mm],直径 [mm],中间 x [体素],中间 y [体素],中间 z [体素],体积 [mm³],体素,表面 [mm²],分类,间隙 [mm],紧密度,球度,位置 x [体素],位置 y [体素],位置 z [体素],投影尺寸 x [mm],投影尺寸 y [mm],投影尺寸 z [mm],主分量分析（PCA）偏差 1 [mm],主分量分析（PCA）偏差 2 [mm],主分量分析（PCA）偏差 3 [mm],PCA 最大偏差比例 [%],PCA 最小偏差比例 [%],最小灰度值,最大灰度值,平均灰度值,灰度值偏差,标签,最小厚度 [mm],最大厚度 [mm],平均厚度 [mm],相对直径,切面 [mm²],最小边距离（内部） [mm],最小边距离（外部） [mm],最大边距离（剪切） [mm],投影区域（yz 平面） [mm²],投影区域（xz 平面） [mm²],投影区域（xy 平面） [mm²],说明,图像,聚焦图像,捕获,公差状态
123.62,9.389,18.779,666,313,421,90.58,53431,379.99,,-6.432,0.03,0.26,651,319,423,18.601,10.374,3.458,4.102,2.530,0.659,43.686,7.020,11291,28251,23354,4442,1302,,,,,,,,,21.51,39.24,81.74,,关,关,0,无公差
123.04,2.968,5.937,616,835,68,7.98,4705,42.51,,-30.057,0.07,0.45,617,834,62,5.723,3.339,1.550,1.113,0.603,0.356,37.501,11.982,13293,28249,23880,4432,10863,,,,,,,,,3.97,6.01,9.55,,关,关,0,无公差
121.83,3.123,6.245,628,311,96,18.76,11063,66.80,,-2.154,0.15,0.51,627,315,93,4.293,3.816,5.366,0.957,0.888,0.602,30.657,19.270,13428,28251,21994,4410,1422,,,,,,,,,10.79,11.83,9.34,,关,关,0,无公差
120.50,3.115,6.231,391,963,411,14.07,8302,64.32,,-2.565,0.11,0.44,390,974,423,5.485,4.293,3.935,1.721,0.852,0.451,55.232,14.474,10849,28251,22438,4386,3008,,,,,,,,,8.26,9.90,12.94,,关,关,0,无公差
119.83,3.108,6.215,1076,335,346,27.59,16272,82.95,,0.275,0.22,0.53,1087,332,351,5.485,4.054,5.008,1.126,0.897,0.726,36.243,23.365,12078,28249,20645,4374,1590,,,,,,,,,12.51,14.30,12.41,,关,关,0,无公差
118.76,1.687,3.373,1005,458,75,6.34,3740,28.66,,0.328,0.32,0.58,1007,461,70,2.623,2.504,2.981,0.845,0.475,0.369,50.124,21.856,13182,28249,22023,4354,3135,,,,,,,,,4.41,5.39,4.52,,关,关,0,无公差
118.11,2.473,4.945,914,242,422,16.59,9785,51.81,,0.122,0.26,0.61,920,236,421,4.770,3.577,2.266,0.979,0.751,0.526,39.612,21.259,13402,28251,20967,4342,726,,,,,,,,,6.40,7.75,11.46,,关,关,0,无公差
117.79,2.647,5.294,526,1130,62,11.43,6742,46.92,,0.568,0.15,0.52,531,1126,62,5.008,3.816,1.789,1.046,0.772,0.416,39.502,15.735,12962,28248,22055,4336,10059,,,,,,,,,4.86,6.10,11.55,,关,关,0,无公差
116.64,1.404,2.809,251,794,419,4.31,2543,20.08,,0.418,0.37,0.64,251,794,416,2.385,2.146,1.789,0.555,0.456,0.386,39.514,27.493,13080,28251,22537,4315,10737,,,,,,,,,3.06,3.27,3.67,,关,关,0,无公差
115.99,3.784,7.569,466,960,419,13.36,7883,59.77,,-2.127,0.06,0.46,466,951,419,7.393,3.219,2.981,1.269,0.688,0.530,33.523,14.014,12397,28250,23182,4303,3064,,,,,,,,,5.80,9.68,11.86,,关,关,0,无公差
115.00,2.155,4.311,667,1092,79,14.38,8481,47.40,,-0.292,0.34,0.60,664,1088,82,4.054,2.921,2.981,0.851,0.656,0.583,39.469,27.045,13371,28251,22191,4285,8836,,,,,,,,,6.21,8.74,8.28,,关,关,0,无公差
114.94,4.174,8.348,562,1186,117,58.93,34760,145.62,,0.184,0.19,0.50,552,1188,114,7.154,6.141,5.724,2.135,0.973,0.774,51.142,18.549,12158,28249,21062,4283,11355,,,,,,,,,20.40,24.97,24.51,,关,关,0,无公差
114.55,2.914,5.828,830,585,99,21.11,12451,67.45,,-17.941,0.20,0.55,841,585,98,5.724,2.921,3.458,1.401,0.639,0.572,48.081,19.637,13468,28250,21477,4276,5618,,,,,,,,,7.59,13.02,11.60,,关,关,0,无公差
114.38,2.566,5.133,456,283,62,3.52,2074,25.37,,-1.176,0.05,0.44,457,278,62,3.577,4.650,0.835,1.157,0.468,0.188,45.092,7.330,12780,28243,23358,4273,1015,,,,,,,,,2.45,2.12,8.02,,关,关,0,无公差
114.07,2.037,4.073,1123,805,351,15.96,9415,50.47,,-0.069,0.45,0.61,1121,807,347,3.816,3.696,3.219,0.826,0.700,0.610,40.539,29.941,12238,28249,20956,4267,10584,,,,,,,,,7.88,8.20,8.96,,关,关,0,无公差
113.89,1.213,2.426,940,642,71,4.20,2480,19.62,,-5.412,0.56,0.64,940,644,72,2.146,1.908,2.146,0.517,0.450,0.393,42.627,32.438,13418,28245,22523,4264,6802,,,,,,,,,3.09,3.38,3.33,,关,关,0,无公差
113.79,2.173,4.346,1163,429,360,10.78,6356,39.67,,-0.132,0.25,0.59,1170,423,355,3.816,3.100,2.743,0.814,0.571,0.544,37.472,25.017,12937,28248,21440,4262,2846,,,,,,,,,5.50,7.17,6.97,,关,关,0,无公差
113.39,1.487,2.974,798,469,68,3.37,1988,17.69,,-10.521,0.24,0.61,798,472,66,2.146,2.266,1.669,0.610,0.380,0.335,41.028,22.551,12648,28241,23282,4254,3647,,,,,,,,,2.67,2.90,3.26,,关,关,0,无公差
113.15,1.737,3.474,1244,568,412,11.77,6945,39.70,,-1.458,0.54,0.63,1242,567,413,3.100,3.219,2.743,0.702,0.639,0.570,40.430,32.811,13259,28251,21295,4250,5929,,,,,,,,,6.31,6.20,7.22,,关,关,0,无公差
113.06,2.199,4.399,490,796,412,5.20,3070,26.53,,-14.210,0.12,0.55,487,801,413,3.816,2.623,2.266,0.818,0.442,0.383,37.206,17.415,12651,28248,23483,4248,10710,,,,,,,,,3.63,4.78,4.75,,关,关,0,无公差
112.27,3.323,6.646,939,417,414,16.19,9552,76.24,,-1.961,0.11,0.41,943,427,422,5.247,5.485,2.385,1.360,0.852,0.474,40.919,14.264,13887,28251,23386,4233,2972,,,,,,,,,8.18,8.27,14.72,,关,关,0,无公差
